date,instrument,weight
2024-01-05,6B_FRONT_CALENDAR,-0.21875190
2024-01-05,6E_FRONT_CALENDAR,-0.47861063
2024-01-05,6J_FRONT_CALENDAR,-0.23476168
2024-01-05,CL_FRONT_VOLUME,-0.16150883
2024-01-05,ES_FRONT_CALENDAR_2D,0.08017491
2024-01-05,GC_FRONT_VOLUME,-0.14091428
2024-01-05,NQ_FRONT_CALENDAR_2D,-0.00854728
2024-01-05,RTY_FRONT_CALENDAR_2D,0.03118437
2024-01-05,SR3_FRONT_CALENDAR,-0.45238115
2024-01-05,UB_FRONT_VOLUME,0.11763861
2024-01-05,ZF_FRONT_VOLUME,0.73521078
2024-01-05,ZN_FRONT_VOLUME,0.36343661
2024-01-05,ZT_FRONT_VOLUME,0.97687895
2024-01-12,6B_FRONT_CALENDAR,-0.20905020
2024-01-12,6E_FRONT_CALENDAR,-0.45364892
2024-01-12,6J_FRONT_CALENDAR,-0.23889598
2024-01-12,CL_FRONT_VOLUME,-0.16121200
2024-01-12,ES_FRONT_CALENDAR_2D,0.09721069
2024-01-12,GC_FRONT_VOLUME,-0.14773690
2024-01-12,NQ_FRONT_CALENDAR_2D,0.01731690
2024-01-12,RTY_FRONT_CALENDAR_2D,0.02267111
2024-01-12,SR3_FRONT_CALENDAR,-0.48070890
2024-01-12,UB_FRONT_VOLUME,0.10993699
2024-01-12,ZF_FRONT_VOLUME,0.73808390
2024-01-12,ZN_FRONT_VOLUME,0.36821088
2024-01-12,ZT_FRONT_VOLUME,0.95531664
2024-01-19,6B_FRONT_CALENDAR,-0.21322069
2024-01-19,6E_FRONT_CALENDAR,-0.43528101
2024-01-19,6J_FRONT_CALENDAR,-0.26905908
2024-01-19,CL_FRONT_VOLUME,-0.16186871
2024-01-19,ES_FRONT_CALENDAR_2D,0.13405798
2024-01-19,GC_FRONT_VOLUME,-0.15598796
2024-01-19,NQ_FRONT_CALENDAR_2D,0.05868709
2024-01-19,RTY_FRONT_CALENDAR_2D,0.03236798
2024-01-19,SR3_FRONT_CALENDAR,-0.46814212
2024-01-19,UB_FRONT_VOLUME,0.09242989
2024-01-19,ZF_FRONT_VOLUME,0.69636523
2024-01-19,ZN_FRONT_VOLUME,0.35212832
2024-01-19,ZT_FRONT_VOLUME,0.93040394
2024-01-26,6B_FRONT_CALENDAR,-0.22510690
2024-01-26,6E_FRONT_CALENDAR,-0.46115373
2024-01-26,6J_FRONT_CALENDAR,-0.29709445
2024-01-26,CL_FRONT_VOLUME,-0.15676429
2024-01-26,ES_FRONT_CALENDAR_2D,0.20315072
2024-01-26,GC_FRONT_VOLUME,-0.17997717
2024-01-26,NQ_FRONT_CALENDAR_2D,0.11027644
2024-01-26,RTY_FRONT_CALENDAR_2D,0.06719590
2024-01-26,SR3_FRONT_CALENDAR,-0.45470233
2024-01-26,UB_FRONT_VOLUME,0.06767133
2024-01-26,ZF_FRONT_VOLUME,0.61978002
2024-01-26,ZN_FRONT_VOLUME,0.30901161
2024-01-26,ZT_FRONT_VOLUME,0.84811510
2024-02-02,6B_FRONT_CALENDAR,-0.27172530
2024-02-02,6E_FRONT_CALENDAR,-0.49800304
2024-02-02,6J_FRONT_CALENDAR,-0.31488108
2024-02-02,CL_FRONT_VOLUME,-0.15955328
2024-02-02,ES_FRONT_CALENDAR_2D,0.25495389
2024-02-02,GC_FRONT_VOLUME,-0.19730507
2024-02-02,NQ_FRONT_CALENDAR_2D,0.14625107
2024-02-02,RTY_FRONT_CALENDAR_2D,0.11014000
2024-02-02,SR3_FRONT_CALENDAR,-0.40210929
2024-02-02,UB_FRONT_VOLUME,0.05975015
2024-02-02,ZF_FRONT_VOLUME,0.55618906
2024-02-02,ZN_FRONT_VOLUME,0.27458008
2024-02-02,ZT_FRONT_VOLUME,0.75455869
2024-02-09,6B_FRONT_CALENDAR,-0.28653486
2024-02-09,6E_FRONT_CALENDAR,-0.56501886
2024-02-09,6J_FRONT_CALENDAR,-0.34047953
2024-02-09,CL_FRONT_VOLUME,-0.15588005
2024-02-09,ES_FRONT_CALENDAR_2D,0.31478597
2024-02-09,GC_FRONT_VOLUME,-0.22344030
2024-02-09,NQ_FRONT_CALENDAR_2D,0.18841342
2024-02-09,RTY_FRONT_CALENDAR_2D,0.12471740
2024-02-09,SR3_FRONT_CALENDAR,-0.32541440
2024-02-09,UB_FRONT_VOLUME,0.05257333
2024-02-09,ZF_FRONT_VOLUME,0.49945251
2024-02-09,ZN_FRONT_VOLUME,0.23843655
2024-02-09,ZT_FRONT_VOLUME,0.68485283
2024-02-16,6B_FRONT_CALENDAR,-0.31914892
2024-02-16,6E_FRONT_CALENDAR,-0.62153186
2024-02-16,6J_FRONT_CALENDAR,-0.37012944
2024-02-16,CL_FRONT_VOLUME,-0.13310957
2024-02-16,ES_FRONT_CALENDAR_2D,0.36808747
2024-02-16,GC_FRONT_VOLUME,-0.24307721
2024-02-16,NQ_FRONT_CALENDAR_2D,0.21853048
2024-02-16,RTY_FRONT_CALENDAR_2D,0.15009341
2024-02-16,SR3_FRONT_CALENDAR,-0.30752916
2024-02-16,UB_FRONT_VOLUME,0.04132237
2024-02-16,ZF_FRONT_VOLUME,0.43096545
2024-02-16,ZN_FRONT_VOLUME,0.19614873
2024-02-16,ZT_FRONT_VOLUME,0.60032592
2024-02-23,6B_FRONT_CALENDAR,-0.32070394
2024-02-23,6E_FRONT_CALENDAR,-0.68266332
2024-02-23,6J_FRONT_CALENDAR,-0.44314483
2024-02-23,CL_FRONT_VOLUME,-0.13039654
2024-02-23,ES_FRONT_CALENDAR_2D,0.41861605
2024-02-23,GC_FRONT_VOLUME,-0.26764733
2024-02-23,NQ_FRONT_CALENDAR_2D,0.24673353
2024-02-23,RTY_FRONT_CALENDAR_2D,0.17953866
2024-02-23,SR3_FRONT_CALENDAR,-0.20375582
2024-02-23,UB_FRONT_VOLUME,0.03586572
2024-02-23,ZF_FRONT_VOLUME,0.37155856
2024-02-23,ZN_FRONT_VOLUME,0.15467186
2024-02-23,ZT_FRONT_VOLUME,0.54470385
2024-03-01,6B_FRONT_CALENDAR,-0.31726325
2024-03-01,6E_FRONT_CALENDAR,-0.75198845
2024-03-01,6J_FRONT_CALENDAR,-0.55621303
2024-03-01,CL_FRONT_VOLUME,-0.12661413
2024-03-01,ES_FRONT_CALENDAR_2D,0.45525701
2024-03-01,GC_FRONT_VOLUME,-0.23774761
2024-03-01,NQ_FRONT_CALENDAR_2D,0.26853126
2024-03-01,RTY_FRONT_CALENDAR_2D,0.19245689
2024-03-01,SR3_FRONT_CALENDAR,-0.09384848
2024-03-01,UB_FRONT_VOLUME,0.03856608
2024-03-01,ZF_FRONT_VOLUME,0.30813640
2024-03-01,ZN_FRONT_VOLUME,0.11039198
2024-03-01,ZT_FRONT_VOLUME,0.54298543
2024-03-08,6B_FRONT_CALENDAR,-0.28307475
2024-03-08,6E_FRONT_CALENDAR,-0.85753151
2024-03-08,6J_FRONT_CALENDAR,-0.65024598
2024-03-08,CL_FRONT_VOLUME,-0.12464107
